global_step,DeadlineCompliance/OR-dc,DeadlineCompliance/OR-ms,DeadlineCompliance/RL,MSE/OR-dc,MSE/OR-ms,MSE/RL,Makespan/OR-dc,Makespan/OR-ms,Makespan/RL,Repeats,Status/OR-dc,Status/OR-ms,Time/OR-dc,Time/OR-ms,Time/RL
0,0.8846153846153846,0.34615384615384615,0.38461538461538464,-225.7966,-529.7216,-2.140415962870714,3200,2100,2900,"[2, 1, 1, 2, 1, 3, 2, 1, 3, 4, 3, 3]",FEASIBLE,OPTIMAL,10.049281120300293,0.09258794784545898,0.037161827087402344
1,0.88,0.2,0.44,-218.1383,-677.8241,-2.423405006105006,2800,2100,3200,"[2, 2, 1, 2, 1, 1, 3, 1, 3, 4, 2, 3]",FEASIBLE,FEASIBLE,10.023112297058105,10.02027416229248,0.03456997871398926
2,0.8214285714285714,0.07142857142857142,0.25,-285.78,-1063.4433,-2.5046561474240043,3000,2400,3800,"[3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 1, 3]",FEASIBLE,FEASIBLE,10.02389669418335,10.02824592590332,0.03961491584777832
3,0.9285714285714286,0.35714285714285715,0.5,-160.425,-603.9216,-1.1523478059600973,3200,2300,3400,"[1, 1, 3, 5, 1, 2, 4, 1, 4, 2, 3, 1]",FEASIBLE,OPTIMAL,10.050991773605347,0.16234803199768066,0.03881692886352539
4,0.8888888888888888,0.2222222222222222,0.37037037037037035,-266.4433,-771.8925,-1.9406127023779354,3700,2400,3300,"[1, 2, 2, 2, 2, 2, 2, 3, 1, 4, 4, 2]",FEASIBLE,FEASIBLE,10.04027009010315,10.022581100463867,0.037136077880859375
5,0.8333333333333334,0.13333333333333333,0.26666666666666666,-376.94,-1131.2083,-2.398928385718667,3400,2500,3100,"[2, 2, 1, 2, 3, 4, 3, 2, 3, 4, 3, 1]",FEASIBLE,FEASIBLE,10.018610000610352,10.046869993209839,0.04226112365722656
6,0.8285714285714286,0.2857142857142857,0.3142857142857143,-500.9716,-1150.9875,-2.1247351676907877,3700,2900,3600,"[2, 5, 4, 3, 3, 2, 2, 2, 2, 3, 4, 3]",FEASIBLE,OPTIMAL,10.024250984191895,0.3425149917602539,0.050549983978271484
7,0.8484848484848485,0.2727272727272727,0.3939393939393939,-539.69,-1269.7133,-1.8704501438298309,3800,2800,3800,"[2, 2, 1, 5, 3, 3, 4, 2, 2, 4, 3, 2]",FEASIBLE,FEASIBLE,10.029465198516846,10.028640985488892,0.04821300506591797
8,0.9166666666666666,0.2916666666666667,0.5,-106.4358,-637.0466,-0.9999851468754871,2700,2100,3000,"[1, 1, 4, 1, 2, 1, 3, 2, 1, 2, 3, 3]",FEASIBLE,FEASIBLE,10.029100894927979,10.03207778930664,0.03191399574279785
9,0.9166666666666666,0.375,0.4583333333333333,-109.7208,-391.4383,-1.1181751302299576,2600,2000,2600,"[1, 2, 1, 3, 2, 4, 1, 2, 3, 1, 1, 3]",FEASIBLE,FEASIBLE,10.019454002380371,10.020622730255127,0.03259706497192383
