#{"t_start": 1706593454.830501, "env_id": "scheduler-mctsEnv"}
r,l,t
-1830.0,368,0.203601
-1741.0,509,0.259823
-1735.0,273,0.291064
-1662.0,350,0.329136
-1932.0,450,0.391827
-1744.0,282,0.425174
-1929.0,307,0.460505
-1736.0,484,0.513236
-1901.0,349,0.553734
-1801.0,309,0.587825
-2191.0,359,0.627651
-2143.0,451,0.678402
-1749.0,267,0.71074
-3552.0,600,6.056469
-3554.0,600,14.966055
-3554.0,600,23.886029
-3552.0,600,32.794435
-3562.0,600,41.355681
-3561.0,600,49.596213
-3559.0,600,59.663892
-3568.0,600,68.030342
-3579.0,600,77.687883
-3575.0,600,86.803721
-3579.0,600,95.781701
-3575.0,600,104.340966
-3584.0,600,112.487891
-3574.0,600,121.455646
-3589.0,600,130.160384
-3588.0,600,138.820174
-3576.0,600,149.353269
-3570.0,600,158.864168
-3576.0,600,167.280526
-3583.0,600,175.215673
-3587.0,600,183.999191
-3585.0,600,192.279411
-3581.0,600,200.701541
-3577.0,600,209.661269
-3566.0,600,218.017997
-3578.0,600,227.144344
-3574.0,600,235.954815
-3573.0,600,244.432805
-3576.0,600,251.553067
-3578.0,600,259.17247
-3576.0,600,267.709173
-3576.0,600,276.210603
-3576.0,600,284.600811
-3572.0,600,291.999732
-3575.0,600,300.927254
-3567.0,600,309.283896
-3572.0,600,317.671194
-3572.0,600,326.219629
-3570.0,600,335.161437
-3564.0,600,343.732169
-3573.0,600,366.032835
-3570.0,600,375.469696
-3584.0,600,385.578741
-3573.0,600,394.337929
-3574.0,600,403.413501
-3575.0,600,411.5576
-3578.0,600,420.375511
-3591.0,600,430.096839
-3569.0,600,438.913583
-3570.0,600,447.872375
-3575.0,600,456.872446
-3574.0,600,465.105118
-3576.0,600,474.067659
-3571.0,600,482.490447
-3572.0,600,490.861879
-3573.0,600,499.390308
-3571.0,600,509.315426
-3584.0,600,518.113085
-3574.0,600,528.291079
-3577.0,600,536.611782
-3578.0,600,545.60437
-3568.0,600,554.112401
-3575.0,600,563.539478
-3565.0,600,572.085834
-3566.0,600,580.34584
-3573.0,600,588.547489
-3577.0,600,598.694094
-3567.0,600,607.306257
-3565.0,600,615.955005
-3569.0,600,624.154692
-3573.0,600,633.112834
-3567.0,600,641.530218
-3565.0,600,651.205038
-3578.0,600,664.353398
-3573.0,600,672.221186
-3574.0,600,681.272635
-3576.0,600,690.586711
-3576.0,600,698.592559
-3577.0,600,705.445081
-3583.0,600,713.347097
-3570.0,600,722.946708
-3567.0,600,731.670651
-3580.0,600,739.618733
-3574.0,600,748.864099
-3572.0,600,756.811396
-3579.0,600,765.777856
-3575.0,600,774.136032
-3574.0,600,782.886791
-3576.0,600,792.379342
-3572.0,600,801.279474
-3569.0,600,810.508774
-3577.0,600,818.126542
-3574.0,600,828.010411
-3579.0,600,836.351607
-3571.0,600,846.952801
-3576.0,600,857.756563
-3572.0,600,867.238741
-3567.0,600,876.903503
-3577.0,600,887.816249
-3570.0,600,898.018362
-3577.0,600,908.493666
-3575.0,600,918.535675
-3577.0,600,929.418251
-3579.0,600,938.693779
-3580.0,600,948.138181
-3581.0,600,957.705429
-3579.0,600,967.545348
-3571.0,600,976.477642
-3577.0,600,986.981245
-3574.0,600,996.95288
-3581.0,600,1007.139184
-3577.0,600,1018.985202
-3571.0,600,1028.318419
-3577.0,600,1036.668389
-3578.0,600,1045.886217
-3575.0,600,1058.123051
-3577.0,600,1069.700559
-3571.0,600,1078.181364
-3574.0,600,1087.612784
-3574.0,600,1096.286743
-3570.0,600,1105.493305
-3571.0,600,1114.557986
-3569.0,600,1123.573756
-3574.0,600,1132.228662
-3581.0,600,1141.869491
-3579.0,600,1152.941454
-3579.0,600,1161.832057
-3579.0,600,1171.421185
-3574.0,600,1180.685399
-3574.0,600,1189.628912
-3575.0,600,1199.152135
-3571.0,600,1208.149175
-3576.0,600,1216.342176
-3571.0,600,1225.865545
-3567.0,600,1235.049456
-3571.0,600,1244.03633
-3569.0,600,1253.069345
-3579.0,600,1262.028029
-3572.0,600,1270.755394
-3574.0,600,1279.101072
-3569.0,600,1288.219042
-3572.0,600,1298.205002
-3568.0,600,1309.253548
-3563.0,600,1322.460409
-3571.0,600,1332.592638
-3568.0,600,1342.142914
-3575.0,600,1352.703858
-3571.0,600,1362.341131
-3571.0,600,1371.192779
-3571.0,600,1381.245081
-3573.0,600,1391.251252
-3576.0,600,1400.194445
-3573.0,600,1411.350385
-3573.0,600,1421.342263
-3573.0,600,1429.882969
-3564.0,600,1438.74737
-3573.0,600,1448.23334
-3574.0,600,1457.105576
